需求编号,父需求,模块编号,功能描述,所属角色,子功能/业务规则,输入,输出,前置条件,后置条件,异常与降级,验收标准(量化),优先级,状态
CHAT-01,REQ-001,CHAT-01,三角色消息路由,shared,按消息类型/命令前缀路由至 chat/office/life；未知命令回退 chat,飞书回调事件,分发到对应处理器,callback_server 运行,请求被对应助手处理,路由失败→chat 兜底,回归测试含路由用例；飞书 E2E 8/8 通过,高,已实现
CHAT-02,REQ-002,CHAT-02,闲聊对话（流式+内容拼接）,chat,流式输出；content/reasoning 拼接；加载对话历史,用户文本/语音,回复文本,ollama 可用,回复返回,模型不可用→本地降级提示；超长→截断,回调端到端<5s；闲聊回归用例通过,高,已实现
CHAT-03,REQ-002,CHAT-03,对话历史管理,chat,per-user 持久化；10 轮限制；AES 加密,对话文本,chat_history JSON,历史文件可读,历史加密落盘,读取失败→跳过不阻断对话,历史加密存取校验通过；10 轮截断正确,高,已实现
CHAT-04,REQ-003,CHAT-04,天气查询,chat,城市天气获取,自然语言查询,天气结构化结果,外部天气 API 就绪,结果返回,外部 API 失败→本地兜底提示,天气回归用例≥1 通过,高,已实现
CHAT-05,REQ-003,CHAT-05,翻译/搜索,chat,网页/归档搜索,自然语言查询,搜索结果片段,搜索 API/本地归档就绪,结果返回,外部失败→本地归档兜底,翻译/搜索回归用例≥1 通过,高,已实现
CHAT-06,REQ-003,CHAT-06,知识库检索,chat,BM25 检索 top_k=3，min_score=0.15,自然语言查询,检索片段,知识库就绪,结果返回,无命中→提示无结果,知识库回归用例通过；min_score 命中校验,高,已实现
CHAT-07,REQ-004,CHAT-07,语音输入,chat,opus→wav→whisper.cpp 转写,语音文件(file_key),转写文本+回复,whisper.cpp 可用,转写文本进入对话流,转写失败→提示重发,语音回归用例通过；转写结果非空,高,已实现
CHAT-08,REQ-002,CHAT-08,自定义提示词管理,chat,设置/查看/重置提示词,文本命令,提示词生效回复,提示词模块就绪,提示词持久化,无提示词→默认行为,设置/查看/重置回归用例通过,中,已实现
CHAT-09,REQ-034,CHAT-09,跨会话记忆,chat,事实提取→持久化→上下文注入；AES 加密留存,对话文本,记忆存取,跨会话记忆模块就绪,记忆 JSON 加密落盘,提取失败→跳过不阻断对话,REQ-DEF-001 E2E 实测通过；记忆命中注入校验,高,已实现
CHAT-10,REQ-035,CHAT-10,任务委派,chat,#委派 指令路由至 office/life/chat,委派文本,委派执行结果,委派路由就绪,委派记录落盘,无匹配→回退 chat 处理,REQ-DEF-002 E2E 实测通过,中,已实现
CHAT-11,REQ-036,CHAT-11,文档起草,chat,起草 指令生成 Markdown 草稿并落盘,起草文本,Markdown 文件,起草模块就绪,草稿落盘 data/drafts,生成失败→错误提示,REQ-DEF-003 E2E 实测通过,中,已实现
OFF-01,REQ-005,OFF-01,Word 处理,office,docx 解析+AI 摘要（外部优先、本地兜底）,文件消息,docx 摘要,office 处理器就绪,产物落盘,解析失败→错误提示,Word 回归用例≥1 通过,高,已实现
OFF-02,REQ-005,OFF-02,Excel 处理,office,xlsx 解析+结构分析+摘要,文件消息,xlsx 分析结果,office 处理器就绪,产物落盘,解析失败→错误提示,Excel 回归用例≥1 通过,高,已实现
OFF-03,REQ-005,OFF-03,PPT 生成,office,文案分段+模板填充+pptx 输出；外部 PPTAgent 优先+本地 core 兜底,文本命令,pptx 文件,PPT 生成器就绪,产物落盘,外部失败→本地 core 兜底,PPT 回归用例通过；外部化接线验证通过,高,已实现
OFF-04,REQ-005,OFF-04,文件夹监控,office,watchdog 变更监控,文件系统事件,变更回调,watchdog 就绪,事件触发,监控失败→告警日志,OFF-04 回归用例通过,中,已实现
OFF-05,REQ-005,OFF-05,#办公 文本命令,office,#办公 help/ppt 前缀路由；转PPT,文本命令,办公处理结果,document_handler 就绪,命令执行,未识别→help 提示,#办公 路由回归用例通过,高,已实现
LIFE-01,REQ-006,LIFE-01,日程管理,life,CRUD+到期提醒；中文关键词路由,中文命令,结构化记录+回复,life 处理器就绪,记录落盘 JSON,解析失败→示例提示,日程回归用例≥1 通过,高,已实现
LIFE-02,REQ-006,LIFE-02,健康管理,life,记录/报告（日报/周报/月报）/趋势,中文命令,健康报告,life 处理器就绪,记录落盘 JSON,解析失败→示例提示,健康回归用例≥1 通过,高,已实现
LIFE-03,REQ-006,LIFE-03,旅行规划,life,行程/活动/打包管理,中文命令,旅行记录,life 处理器就绪,记录落盘 JSON,解析失败→示例提示,旅行回归用例≥1 通过,中,已实现
LIFE-04,REQ-006,LIFE-04,锻炼规划,life,计划/训练/记录管理,中文命令,锻炼记录,life 处理器就绪,记录落盘 JSON,解析失败→示例提示,锻炼回归用例≥1 通过,中,已实现
LIFE-05,REQ-006,LIFE-05,工作管理,life,任务/状态/优先级/截止管理,中文命令,工作记录,life 处理器就绪,记录落盘 JSON,解析失败→示例提示,工作回归用例≥1 通过,高,已实现
LIFE-06,REQ-006,LIFE-06,网页看板,life,dashboard 可视化入口,HTTP 访问,看板页面,dashboard 路由就绪,页面可访问,服务不可用→提示,看板访问回归用例通过,中,已实现
LIFE-07,REQ-037,LIFE-07,主动提醒,life,守护线程每 60s 轮询 check_reminders；到期推送,定时器事件,飞书推送,reminder 数据就绪,提醒推送,推送失败→日志记录重试,REQ-DEF-004 E2E 实测通过；60s 轮询存活,中,已实现
SHARED-01,--,SHARED-01,飞书 API 封装,shared,发送/下载/上传封装,接口调用,消息收发,飞书凭证就绪,消息成功,API 失败→错误提示,飞书 API 回归用例通过,高,已实现
SHARED-02,--,SHARED-02,后端抽象,shared,Ollama 单后端 call_api 抽象；配置驱动,对话消息,模型回复,ollama 可用,推理返回,模型不可用→降级提示,后端抽象回归用例通过,高,已实现
SHARED-03,--,SHARED-03,数据加密,shared,Fernet AES 加密/解密,明文/密文,密文/明文,.crypto_key 就绪,加解密正确,密钥缺失→初始化引导,加解密回归用例通过,高,已实现
